date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:26	30736/30736	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20May%202018%2014:46:24%20GMT	http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18	./calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18/index.html	(from )
11:47:15	12953/12953	---M--	200	added ('OK')	image/png	etag:%22596dce6f-3299%22	http://calswec-archive.berkeley.edu/sites/default/files/calswec-logo-color.png	./calswec-archive.berkeley.edu/sites/default/files/calswec-logo-color/index.png	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20May%202018%2014:47:15%20GMT	http://calswec-archive.berkeley.edu/node/962	./calswec-archive.berkeley.edu/node/962.3/index.delayed	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:16	6176/6176	---M-Z	200	added ('OK')	text/css	etag:W/%225ae72e64-1820%22	http://calswec-archive.berkeley.edu/sites/default/files/css/css_kShW4RPmRstZ3SpIC-ZvVGNFVAi0WEMuCnI0ZkYIaFw.css	./calswec-archive.berkeley.edu/sites/default/files/css/css_kShW4RPmRstZ3SpIC-ZvVGNFVAi0WEMuCnI0ZkYIaFw/index.css	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:17	16460/16460	---M-Z	200	added ('OK')	text/css	etag:W/%225ae72e64-404c%22	http://calswec-archive.berkeley.edu/sites/default/files/css/css_QnDqumlAmBiA-LkPKOOEj-wMlRQlYuHQdMmPGFs03GQ.css	./calswec-archive.berkeley.edu/sites/default/files/css/css_QnDqumlAmBiA-LkPKOOEj-wMlRQlYuHQdMmPGFs03GQ/index.css	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:18	10731/10731	---M-Z	200	added ('OK')	text/css	etag:W/%225ae72e64-29eb%22	http://calswec-archive.berkeley.edu/sites/default/files/css/css_n2IdwK4pYHQTn4_QHVfLmrbg1BubAMGSfhiy63_6JSc.css	./calswec-archive.berkeley.edu/sites/default/files/css/css_n2IdwK4pYHQTn4_QHVfLmrbg1BubAMGSfhiy63_6JSc/index.css	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:19	645/645	---M-Z	200	added ('OK')	text/css	etag:W/%225ae72ede-285%22	http://calswec-archive.berkeley.edu/sites/default/files/css/css_aqCstrAvHVr6QSiS4T6w7oxS9rWpCPAUHsI4mTyY1sg.css	./calswec-archive.berkeley.edu/sites/default/files/css/css_aqCstrAvHVr6QSiS4T6w7oxS9rWpCPAUHsI4mTyY1sg/index.css	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:20	47935/47935	---M-Z	200	added ('OK')	text/css	etag:W/%225ae72e65-bb3f%22	http://calswec-archive.berkeley.edu/sites/default/files/css/css_mNZgy_j0IBKTUECmY2hlJI32Rbo-u22BqeL7j4R8ATA.css	./calswec-archive.berkeley.edu/sites/default/files/css/css_mNZgy_j0IBKTUECmY2hlJI32Rbo-u22BqeL7j4R8ATA/index.css	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:21	750/750	---M-Z	200	added ('OK')	text/css	etag:W/%225ae72e66-2ee%22	http://calswec-archive.berkeley.edu/sites/default/files/css/css_e0Oi8I1L8cGJ7KxcUbimLkO-ivlPDoZXuBZMWKAz5GY.css	./calswec-archive.berkeley.edu/sites/default/files/css/css_e0Oi8I1L8cGJ7KxcUbimLkO-ivlPDoZXuBZMWKAz5GY/index.css	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:22	101801/101801	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%225ae72e66-18da9%22	http://calswec-archive.berkeley.edu/sites/default/files/js/js_vDrW3Ry_4gtSYaLsh77lWhWjIC6ml2QNkcfvfP5CVFs.js	./calswec-archive.berkeley.edu/sites/default/files/js/js_vDrW3Ry_4gtSYaLsh77lWhWjIC6ml2QNkcfvfP5CVFs/index.js	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:23	16603/16603	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%225ae72ede-40db%22	http://calswec-archive.berkeley.edu/sites/default/files/js/js_0qGD1CqGsDpO1yJ1qzckatKYx8lDESM0HyyA0gOUh_k.js	./calswec-archive.berkeley.edu/sites/default/files/js/js_0qGD1CqGsDpO1yJ1qzckatKYx8lDESM0HyyA0gOUh_k/index.js	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:24	4956/4956	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%225ae72e67-135c%22	http://calswec-archive.berkeley.edu/sites/default/files/js/js_kRX5z6GS4iR82kLOtvuUJ0F9T7bMJKxIF7rtnqEyiCc.js	./calswec-archive.berkeley.edu/sites/default/files/js/js_kRX5z6GS4iR82kLOtvuUJ0F9T7bMJKxIF7rtnqEyiCc/index.js	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:25	286/286	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%225ad5f06d-11e%22	http://calswec-archive.berkeley.edu/sites/default/files/js/js_8oAm3-65gJIDBNt14Bz_2x3CU_UbbihDP5AuMTn_m_o.js	./calswec-archive.berkeley.edu/sites/default/files/js/js_8oAm3-65gJIDBNt14Bz_2x3CU_UbbihDP5AuMTn_m_o/index.js	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:39	32434/32434	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20May%202018%2014:47:39%20GMT	http://calswec-archive.berkeley.edu/about	./calswec-archive.berkeley.edu/about/index.html	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:40	33535/33535	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20May%202018%2014:47:40%20GMT	http://calswec-archive.berkeley.edu/	./calswec-archive.berkeley.edu/index/index.html	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:41	30621/30621	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20May%202018%2014:47:41%20GMT	http://calswec-archive.berkeley.edu/partners	./calswec-archive.berkeley.edu/partners/index.html	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:41	26057/26057	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20May%202018%2014:47:41%20GMT	http://calswec-archive.berkeley.edu/students	./calswec-archive.berkeley.edu/students/index.html	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:42	30121/30121	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20May%202018%2014:47:42%20GMT	http://calswec-archive.berkeley.edu/news	./calswec-archive.berkeley.edu/news/index.html	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
11:47:43	24369/24369	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20May%202018%2014:47:43%20GMT	http://calswec-archive.berkeley.edu/project-coordinators-0	./calswec-archive.berkeley.edu/project-coordinators-0/index.html	(from http://calswec-archive.berkeley.edu/title-iv-e-stipend-program-program-guide-2017-18)
